Protein_ID,Source,Num_Pockets,Top_Score,Top_Probability,Center_X,Center_Y,Center_Z,Surf_Atoms
clean_8SGF,pdb,13,16.74,0.786,11.426,-4.443,-24.174,68.0
clean_5O3J,pdb,0,,,,,,
clean_6MVA,pdb,21,42.56,0.968,13.75,-14.063,14.893,100.0
clean_8BLB,pdb,16,21.98,0.876,153.391,171.477,107.15,59.0
clean_6SK8,pdb,14,47.42,0.976,83.463,-23.535,53.795,70.0
clean_6L4B,pdb,25,6.92,0.357,-30.004,-49.328,7.72,22.0
clean_5Q84,pdb,4,25.96,0.91,6.301,15.761,29.707,57.0
clean_3BEA,pdb,4,17.88,0.81,7.297,25.28,5.854,52.0
clean_5AQQ,pdb,10,28.18,0.924,384.765,12.353,204.613,72.0
clean_6VZL,pdb,8,44.64,0.972,17.367,61.98,14.029,92.0
clean_9F35,pdb,2,14.36,0.72,21.953,18.219,6.375,52.0
clean_4AYT,pdb,3,6.24,0.312,-50.024,84.984,-5.668,36.0
clean_3EKN,pdb,4,13.74,0.697,8.816,21.848,17.265,53.0
clean_6X3T,pdb,46,27.64,0.922,145.219,164.879,118.063,64.0
clean_5UAB,pdb,4,14.2,0.715,-6.51,11.12,20.245,35.0
clean_1U6D,pdb,3,38.02,0.959,5.129,29.171,72.129,115.0
clean_5CJ6,pdb,2,28.07,0.923,-26.744,2.385,-4.868,38.0
clean_6DO4,pdb,10,16.14,0.771,167.266,-2.717,86.234,70.0
clean_3BJI,pdb,21,12.42,0.65,-12.007,50.669,104.392,63.0
clean_6XNO,pdb,3,1.37,0.016,14.648,43.648,27.069,25.0
clean_8PPK,pdb,49,18.32,0.82,247.202,293.869,230.627,59.0
clean_5ZJW,pdb,6,28.77,0.927,-4.445,-4.332,16.855,73.0
clean_7EA0,pdb,6,7.78,0.412,51.2,43.543,71.599,40.0
clean_2AK5,pdb,2,1.5,0.021,14.469,32.151,20.46,16.0
clean_4QAM,pdb,6,25.09,0.904,-28.549,-5.033,14.066,57.0
clean_7NZY,pdb,14,10.74,0.577,-10.924,33.237,-42.24,48.0
clean_7OPC,pdb,134,54.56,0.984,195.49,242.593,195.184,128.0
clean_6YX0,pdb,3,1.51,0.022,1.197,3.803,12.599,15.0
clean_7LT6,pdb,6,30.64,0.935,38.54,-3.916,24.709,98.0
clean_5LYQ,pdb,3,46.24,0.974,-18.331,-2.468,-31.963,56.0
clean_6RA5,pdb,3,16.4,0.778,21.043,41.574,24.096,51.0
clean_3G2T,pdb,1,3.42,0.123,24.842,2.174,-1.928,34.0
clean_3COU,pdb,3,34.59,0.951,55.37,37.119,2.796,62.0
clean_6T5H,pdb,6,7.29,0.38,18.805,0.47,57.353,33.0
clean_2QQ5,pdb,3,12.54,0.654,30.14,30.356,36.114,45.0
clean_1IYT,pdb,0,,,,,,
clean_3GEF,pdb,3,20.51,0.856,-16.895,1.534,-6.931,63.0
clean_4R8Q,pdb,11,13.9,0.703,-26.339,17.308,-22.038,60.0
clean_6I3C,pdb,2,13.42,0.685,-1.538,0.861,4.166,49.0
clean_9JE1,pdb,0,,,,,,
clean_6E40,pdb,23,58.98,0.987,27.651,23.492,-99.151,96.0
clean_1FEW,pdb,0,,,,,,
clean_3ROM,pdb,12,16.72,0.785,19.853,-8.585,26.75,61.0
clean_5FSK,pdb,1,22.66,0.882,13.899,20.262,4.586,46.0
clean_7HGA,pdb,4,4.82,0.214,17.401,-16.271,-24.943,29.0
clean_6EQ6,pdb,2,31.18,0.937,-15.837,12.243,-22.165,62.0
clean_5Q61,pdb,5,23.91,0.893,6.296,15.689,29.465,57.0
clean_4R6U,pdb,15,12.66,0.658,273.683,19.616,104.705,48.0
clean_4BU7,pdb,10,37.63,0.958,5.804,18.041,-13.813,106.0
clean_2GS0,pdb,2,1.62,0.026,5.666,-6.351,-1.292,11.0
clean_6VP6,pdb,36,16.22,0.773,211.925,157.765,165.185,30.0
clean_5BVO,pdb,3,13.74,0.698,19.678,38.63,37.941,41.0
clean_4RWL,pdb,9,8.03,0.427,57.471,-0.44,15.873,39.0
clean_5ORN,pdb,5,15.99,0.767,-11.572,25.483,-7.813,67.0
clean_2AES,pdb,12,40.87,0.965,54.092,41.29,72.046,79.0
clean_3CH8,pdb,0,,,,,,
clean_7NRB,pdb,4,5.69,0.275,19.985,3.535,16.507,34.0
clean_1G5V,pdb,0,,,,,,
clean_4O19,pdb,10,84.26,0.994,11.193,10.035,7.083,144.0
clean_3FJJ,pdb,6,6.24,0.312,16.254,33.174,52.197,27.0
clean_7T1K,pdb,1,1.73,0.031,14.325,9.275,-1.264,20.0
clean_8FSL,pdb,21,16.99,0.793,-65.184,3.781,26.68,66.0
clean_4BZC,pdb,52,40.23,0.964,18.913,5.307,10.838,80.0
clean_8EBM,pdb,11,17.62,0.805,10.983,11.607,-24.072,73.0
clean_1K5V,pdb,0,,,,,,
clean_8CDW,pdb,8,19.05,0.833,-10.127,14.993,-22.526,65.0
clean_1LSO,pdb,6,19.9,0.847,41.854,42.276,41.308,61.0
clean_6IWI,pdb,3,32.11,0.941,27.386,-19.052,15.327,55.0
clean_3D3M,pdb,8,9.05,0.485,6.621,10.617,13.201,46.0
clean_2D0T,pdb,11,66.6,0.99,63.731,53.731,18.487,106.0
clean_6FZP,pdb,1,41.27,0.966,-23.631,-19.467,11.007,78.0
clean_4B7L,pdb,7,4.97,0.225,-11.042,17.312,16.443,21.0
clean_5VAM,pdb,12,28.59,0.926,-22.264,26.942,3.065,79.0
clean_5UFG,pdb,4,69.47,0.991,32.08,-14.509,-13.311,92.0
clean_4OYI,pdb,7,29.32,0.93,16.538,27.223,-4.588,75.0
clean_5N9C,pdb,4,18.74,0.829,15.091,49.196,-13.329,55.0
clean_7AW3,pdb,2,9.49,0.51,19.928,30.368,-17.092,33.0
clean_3FAY,pdb,6,6.69,0.34,32.379,20.263,-10.325,31.0
clean_4NKG,pdb,3,8.21,0.437,61.571,-20.191,41.412,32.0
clean_5G1X,pdb,4,29.97,0.933,44.461,-14.377,38.337,74.0
clean_6M18,pdb,70,13.78,0.699,142.26,152.15,130.962,32.0
clean_2LAP,pdb,1,4.7,0.206,-9.073,-14.469,-17.293,17.0
clean_3TH5,pdb,5,9.15,0.49,-12.385,-11.527,-1.676,53.0
clean_4NND,pdb,17,6.89,0.354,-33.23,-13.044,-50.847,26.0
clean_6F6U,pdb,7,49.04,0.978,27.678,130.113,147.502,71.0
clean_3HAH,pdb,6,4.69,0.205,-23.234,30.123,-18.231,24.0
clean_2NWM,pdb,1,2.57,0.073,0.959,-6.592,2.016,21.0
clean_8UHG,pdb,112,34.65,0.951,210.98,222.385,167.977,124.0
clean_5SGG,pdb,14,43.25,0.97,92.345,-4.29,14.467,59.0
clean_7COB,pdb,1,11.9,0.63,3.837,0.993,7.037,45.0
clean_8VFO,pdb,1,1.84,0.035,-14.965,2.853,-4.667,16.0
clean_2DQY,pdb,37,37.1,0.957,0.315,40.551,40.041,64.0
clean_7KRB,pdb,0,,,,,,
clean_6ZLW,pdb,62,30.26,0.934,263.753,272.131,236.898,66.0
clean_6RL6,pdb,4,9.66,0.519,19.108,13.336,10.885,29.0
clean_6DFB,pdb,1,2.34,0.06,-9.324,-35.078,28.206,15.0
clean_5ACK,pdb,6,18.38,0.821,52.325,-0.141,16.187,46.0
clean_8SNN,pdb,16,38.67,0.96,162.689,167.871,151.817,76.0
clean_5QGU,pdb,3,9.73,0.523,37.71,-44.98,76.516,31.0
clean_5WS7,pdb,7,65.82,0.99,11.658,-0.342,-15.37,138.0
clean_2IWQ,pdb,0,,,,,,
clean_4Y8A,pdb,1,0.74,0.002,26.866,34.308,24.21,16.0
clean_7KSX,pdb,3,13.55,0.69,0.939,-1.801,-8.055,44.0
clean_8PP8,pdb,11,14.76,0.733,24.218,27.963,75.775,38.0
clean_5ES1,pdb,4,5.92,0.29,-45.449,-21.673,-2.872,35.0
clean_4GDY,pdb,7,31.18,0.937,-17.023,23.259,14.546,66.0
clean_5YGX,pdb,2,17.12,0.796,16.821,37.646,-9.02,67.0
clean_6N7D,pdb,2,21.56,0.871,-22.214,5.85,-2.742,78.0
clean_5JYP,pdb,2,4.4,0.185,19.571,-8.826,65.647,25.0
clean_5EKN,pdb,2,17.42,0.802,-10.575,10.119,-31.84,47.0
clean_5IHC,pdb,5,8.81,0.472,-4.127,3.123,-0.997,46.0
clean_7NBQ,pdb,9,33.71,0.947,-3.372,1.301,-7.102,85.0
clean_7FAQ,pdb,1,26.56,0.915,33.016,-31.808,-37.774,61.0
clean_7YNR,pdb,7,11.52,0.614,144.785,159.816,147.779,22.0
clean_3APC,pdb,13,25.48,0.907,114.788,-0.19,19.555,92.0
clean_3L95,pdb,17,15.42,0.753,-14.417,-32.703,12.771,55.0
clean_4N1B,pdb,20,20.91,0.864,9.713,-48.21,-19.311,76.0
clean_3CZV,pdb,9,105.97,0.996,38.622,63.851,27.646,159.0
clean_7ZOM,pdb,1,2.01,0.044,25.631,-12.657,1.782,19.0
clean_8PBO,pdb,11,30.43,0.934,18.115,30.27,12.823,59.0
clean_4A5S,pdb,34,21.56,0.871,27.749,64.906,85.157,45.0
clean_6IPH,pdb,3,10.37,0.557,1.692,-36.663,-2.634,31.0
clean_5HPY,pdb,5,15.16,0.747,-44.264,38.314,20.452,59.0
clean_6B27,pdb,7,4.51,0.193,41.218,69.261,-17.202,23.0
clean_1O80,pdb,0,,,,,,
clean_2PG5,pdb,26,54.17,0.984,30.025,29.255,98.187,83.0
clean_6EIP,pdb,26,16.36,0.777,-25.534,-11.88,-21.721,82.0
clean_5IM8,pdb,0,,,,,,
clean_6SHZ,pdb,8,4.4,0.185,123.143,78.762,-18.646,33.0
clean_5Q8Z,pdb,6,29.71,0.932,6.436,15.671,30.244,60.0
clean_4A4L,pdb,4,20.04,0.849,9.381,44.437,11.815,42.0
clean_4NAW,pdb,34,13.85,0.701,-18.941,-64.86,28.845,31.0
clean_1L4T,pdb,0,,,,,,
clean_5ELY,pdb,7,48.59,0.978,17.635,47.237,41.211,94.0
clean_2W2N,pdb,5,2.15,0.05,18.77,20.416,44.413,18.0
clean_3SBZ,pdb,3,4.47,0.19,-41.788,35.299,-9.657,32.0
clean_3WAO,pdb,10,7.73,0.409,-1.014,-26.335,-27.89,53.0
clean_7W9K,pdb,55,51.74,0.982,208.176,214.413,200.629,116.0
clean_5HNI,pdb,16,11.64,0.619,-19.852,-35.533,-38.365,35.0
clean_3HM6,pdb,4,5.1,0.233,-12.501,17.435,-29.511,39.0
clean_6QN0,pdb,15,59.66,0.987,-13.514,43.582,-1.468,115.0
clean_4QYN,pdb,3,48.15,0.977,22.564,-4.156,28.743,65.0
clean_2DWB,pdb,6,7.36,0.385,7.708,79.221,62.844,41.0
clean_5UEC,pdb,5,49.17,0.978,28.145,-21.291,12.932,87.0
clean_8V2Z,pdb,24,21.41,0.869,120.698,133.168,112.061,62.0
clean_7UCV,pdb,2,40.04,0.963,18.118,15.293,17.928,73.0
clean_3E4Z,pdb,37,27.71,0.922,104.776,-27.638,-38.765,103.0
clean_4KBS,pdb,4,111.17,0.997,-17.492,5.594,2.269,173.0
clean_3DC1,pdb,19,28.57,0.926,12.226,-25.5,-23.072,71.0
clean_1D1J,pdb,20,28.17,0.924,40.18,32.474,76.121,131.0
clean_3JVR,pdb,4,6.58,0.334,14.93,-1.966,10.857,30.0
clean_5M2F,pdb,2,42.45,0.968,22.434,27.377,3.576,94.0
clean_2ABI,pdb,14,26.65,0.916,37.984,93.569,33.974,35.0
clean_4QA5,pdb,15,53.01,0.983,-19.416,-0.245,4.401,110.0
clean_2M9R,pdb,0,,,,,,
clean_3EQT,pdb,3,3.38,0.121,3.117,0.96,12.129,23.0
clean_6W68,pdb,3,1.48,0.021,2.239,2.912,-9.636,20.0
clean_6P1R,pdb,3,11.0,0.59,2.558,-2.156,-6.409,34.0
clean_6S4M,pdb,5,63.01,0.989,8.186,-3.397,-16.945,145.0
clean_8TNR,pdb,27,16.72,0.785,134.856,145.696,148.101,68.0
clean_1GS4,pdb,4,26.51,0.914,0.854,31.827,5.153,40.0
clean_6DW7,pdb,54,35.26,0.952,3.236,-17.07,-32.478,75.0
clean_2NYZ,pdb,17,5.05,0.23,20.571,22.34,115.736,41.0
clean_1IKT,pdb,1,16.84,0.789,31.322,31.709,13.825,41.0
clean_4GSF,pdb,39,36.17,0.955,83.492,-73.895,13.138,102.0
clean_6M75,pdb,0,,,,,,
clean_4PQW,pdb,0,,,,,,
clean_3B3K,pdb,6,52.97,0.983,17.003,63.054,14.062,117.0
clean_5TCO,pdb,7,13.11,0.674,20.201,0.112,-22.464,51.0
clean_3QBY,pdb,5,6.42,0.324,1.296,-25.363,-3.468,29.0
clean_6POB,pdb,9,125.68,0.998,116.73,248.434,342.062,271.0
clean_2Q8R,pdb,6,48.58,0.978,-7.181,3.512,12.44,102.0
clean_6TLC,pdb,11,3.3,0.116,-6.617,36.034,7.568,25.0
clean_4P8U,pdb,4,27.93,0.923,-24.246,30.206,1.522,59.0
clean_8EI5,pdb,23,12.47,0.652,2.219,12.408,4.503,48.0
clean_5SYZ,pdb,2,33.85,0.948,11.421,-2.333,12.347,66.0
clean_1HZ3,pdb,0,,,,,,
clean_6T4Y,pdb,3,36.9,0.956,-3.202,-36.162,-6.295,61.0
clean_4CA6,pdb,23,115.46,0.998,2.0,16.001,21.802,227.0
clean_5MF7,pdb,6,5.29,0.248,25.577,-3.827,33.933,31.0
clean_8SEL,pdb,12,13.8,0.699,154.822,149.065,159.95,35.0
clean_3Q2X,pdb,0,,,,,,
clean_8KF4,pdb,3,2.32,0.059,119.088,131.985,125.209,20.0
clean_1QZ7,pdb,7,3.73,0.143,-24.198,1.972,45.967,19.0
clean_8DSD,pdb,8,83.56,0.994,12.009,8.241,5.965,153.0
clean_5TPT,pdb,5,39.86,0.963,2.927,-3.129,5.923,115.0
clean_6OVF,pdb,3,5.09,0.233,59.777,54.771,65.725,26.0
clean_2WZ1,pdb,15,29.35,0.931,-24.549,-14.487,-16.097,83.0
clean_4XUM,pdb,5,42.52,0.968,37.685,-19.656,40.248,120.0
clean_3EJ8,pdb,24,65.91,0.99,58.392,20.006,82.899,138.0
clean_6J9H,pdb,6,7.67,0.405,-12.627,-11.558,-62.284,25.0
clean_7E14,pdb,26,52.45,0.982,105.87,96.925,140.957,122.0
clean_3RLJ,pdb,4,35.48,0.953,28.119,1.73,5.697,42.0
clean_6IRD,pdb,6,12.06,0.637,7.997,-20.117,2.219,40.0
clean_5SH6,pdb,14,41.14,0.965,92.538,-4.178,14.15,63.0
clean_6Y23,pdb,18,14.74,0.733,-5.787,-38.074,-67.613,67.0
clean_5SKF,pdb,15,42.53,0.968,18.08,38.924,-14.319,64.0
clean_7AXB,pdb,2,50.21,0.98,10.12,76.14,-1.345,73.0
clean_6ZE9,pdb,2,2.7,0.081,28.734,31.14,12.701,21.0
clean_2QL9,pdb,8,31.58,0.94,-34.888,13.982,6.053,82.0
clean_7D99,pdb,41,41.31,0.966,113.772,147.651,114.34,76.0
clean_5DPR,pdb,9,5.72,0.277,-28.497,-13.149,23.796,27.0
clean_4XTA,pdb,8,19.24,0.836,-20.157,6.563,-15.287,69.0
clean_9D58,pdb,15,24.67,0.9,20.081,35.876,34.958,57.0
clean_1WTG,pdb,15,12.83,0.664,31.453,32.857,45.033,38.0
clean_5OR8,pdb,1,5.15,0.237,33.724,-38.343,28.448,21.0
clean_6F56,pdb,33,39.37,0.962,-6.789,-39.35,70.893,87.0
clean_7T2H,pdb,14,50.44,0.98,133.132,108.112,123.987,105.0
clean_2WTT,pdb,11,3.57,0.132,-38.337,-17.156,29.144,26.0
clean_8E9Y,pdb,19,42.74,0.968,125.311,116.938,97.805,80.0
clean_5AMC,pdb,23,115.7,0.998,-0.399,50.294,15.666,178.0
clean_6E68,pdb,8,79.19,0.993,11.618,9.726,6.308,134.0
clean_6Y58,pdb,4,10.94,0.587,21.758,15.805,6.958,40.0
clean_6PHP,pdb,0,,,,,,
clean_8QOZ,pdb,115,41.26,0.966,327.617,227.774,327.782,74.0
clean_6S14,pdb,4,14.32,0.719,17.909,-54.624,36.99,41.0
clean_3TF6,pdb,6,17.89,0.81,28.984,75.277,63.262,54.0
clean_3EAE,pdb,3,4.92,0.222,23.21,30.086,1.472,28.0
clean_5IE1,pdb,5,13.59,0.692,68.88,51.347,9.709,50.0
clean_8B8O,pdb,1,3.92,0.155,25.269,-26.236,0.722,20.0
clean_5G43,pdb,3,39.12,0.961,-26.09,7.182,-15.073,67.0
clean_7GAR,pdb,0,,,,,,
clean_6MHD,pdb,10,14.59,0.727,6.069,5.534,-13.408,34.0
clean_6WO9,pdb,1,16.63,0.783,12.664,3.735,14.774,54.0
clean_4CXJ,pdb,2,0.9,0.004,7.277,-10.79,-13.517,6.0
clean_3BUA,pdb,13,36.95,0.956,52.838,-25.894,14.832,116.0
clean_6UMC,pdb,28,11.42,0.61,5.751,-37.644,-27.576,56.0
clean_2UXW,pdb,8,64.09,0.989,9.016,31.487,20.019,125.0
clean_6L65,pdb,3,35.66,0.954,-14.932,6.988,-15.136,88.0
clean_7D9V,pdb,5,18.41,0.822,56.775,41.108,45.42,54.0
clean_5PYX,pdb,8,8.28,0.441,22.044,19.708,22.532,32.0
clean_5KHX,pdb,3,5.24,0.244,12.697,15.742,-13.469,29.0
clean_1HE5,pdb,1,30.93,0.937,23.605,-5.167,9.673,77.0
clean_2GFS,pdb,7,9.94,0.535,21.327,11.212,31.157,45.0
clean_7BGW,pdb,3,17.59,0.805,20.024,17.061,-5.92,61.0
clean_2L5F,pdb,2,1.88,0.037,12.067,4.519,-0.82,17.0
pocket55_atm,pdb,0,,,,,,
clean_7LGA,pdb,8,5.82,0.284,10.859,35.218,52.446,37.0
clean_5QOK,pdb,1,1.51,0.022,-35.139,16.551,74.558,14.0
clean_3E8D,pdb,8,37.98,0.959,28.289,-24.805,-7.325,114.0
clean_5Q2Q,pdb,7,29.16,0.929,6.627,15.819,29.924,61.0
clean_4FRI,pdb,3,20.98,0.864,67.655,49.599,8.575,68.0
clean_6SFO,pdb,5,12.71,0.659,3.154,0.162,-21.124,43.0
clean_6EC0,pdb,0,,,,,,
clean_3O96,pdb,5,25.84,0.909,6.856,-9.578,13.03,106.0
clean_6F7N,pdb,0,,,,,,
clean_5AUL,pdb,1,1.54,0.023,-14.451,7.767,4.726,20.0
clean_4HOK,pdb,57,27.48,0.921,-8.905,-16.057,-109.249,54.0
clean_1GEN,pdb,4,4.89,0.22,-13.29,12.782,5.758,22.0
clean_1XZ6,pdb,4,9.37,0.503,15.743,45.934,39.238,41.0
clean_2M0O,pdb,1,4.77,0.211,-11.102,-1.404,-4.478,32.0
clean_1CS3,pdb,2,2.29,0.058,6.098,25.476,37.611,12.0
clean_3Q2C,pdb,0,,,,,,
clean_6LA6,pdb,22,28.43,0.925,335.774,340.805,229.643,50.0
clean_8OEK,pdb,1,1.76,0.032,-29.508,11.777,4.221,24.0
clean_5X0R,pdb,4,46.66,0.975,-8.947,8.197,11.321,68.0
clean_3SFH,pdb,4,28.94,0.928,8.333,14.748,-21.049,66.0
clean_5NV2,pdb,3,6.63,0.336,33.577,-35.016,8.078,37.0
clean_5TWU,pdb,13,11.12,0.596,25.827,-2.11,27.019,53.0
clean_5BRK,pdb,4,11.6,0.617,19.744,41.396,18.304,38.0
clean_7CH1,pdb,32,43.27,0.97,174.56,174.56,134.107,140.0
clean_4I91,pdb,5,67.02,0.99,45.096,-14.165,-20.064,86.0
clean_1XLZ,pdb,11,39.38,0.962,5.216,2.89,-8.534,70.0
clean_3U3J,pdb,6,55.82,0.984,-16.497,42.787,-2.799,98.0
clean_5KPK,pdb,12,20.48,0.856,12.118,-3.994,1.338,48.0
clean_3UAL,pdb,4,7.44,0.39,-16.592,1.792,24.916,29.0
clean_7P7H,pdb,7,10.03,0.54,11.431,19.265,37.269,62.0
clean_3R58,pdb,2,59.25,0.987,-1.339,-5.71,-12.984,95.0
clean_3T7N,pdb,7,28.86,0.928,14.182,-0.93,29.026,73.0
clean_6J6V,pdb,1,1.81,0.034,9.691,16.537,22.728,14.0
clean_8Q97,pdb,7,15.09,0.745,143.072,205.245,174.369,29.0
clean_4E73,pdb,4,6.72,0.342,0.956,-1.999,14.55,44.0
clean_7MFF,pdb,15,25.06,0.903,76.15,82.176,61.785,54.0
clean_1U62,pdb,0,,,,,,
clean_4TPP,pdb,9,32.69,0.944,-28.403,51.275,23.579,65.0
clean_3ZW3,pdb,18,25.42,0.906,43.274,-0.631,20.856,90.0
clean_5OW8,pdb,7,11.75,0.624,-0.454,-1.238,1.307,40.0
clean_8BCY,pdb,18,16.46,0.779,21.87,19.858,25.362,56.0
clean_7VIG,pdb,17,53.39,0.983,130.383,127.129,146.516,105.0
clean_6GLE,pdb,2,28.02,0.923,-14.518,-12.665,12.249,48.0
clean_5GGP,pdb,4,12.96,0.669,28.989,-5.452,12.639,44.0
clean_2RMY,pdb,0,,,,,,
clean_5QD2,pdb,15,13.13,0.675,31.066,4.943,14.498,45.0
clean_4L7N,pdb,6,22.05,0.877,21.543,-3.962,11.454,64.0
clean_5QD1,pdb,20,14.01,0.708,31.584,5.431,14.902,40.0
clean_5L0A,pdb,7,3.57,0.132,18.433,42.991,10.721,22.0
clean_5PXH,pdb,6,7.29,0.38,21.64,19.41,22.424,33.0
clean_7MU2,pdb,5,14.03,0.708,21.372,25.969,47.406,61.0
clean_7W8I,pdb,0,,,,,,
clean_4UAI,pdb,1,3.58,0.133,1.261,1.034,8.636,19.0
clean_4NW7,pdb,1,64.11,0.989,-13.205,34.977,4.571,86.0
clean_6GLL,pdb,6,54.6,0.984,10.623,0.17,-14.815,123.0
clean_8FII,pdb,3,12.33,0.647,16.596,-15.865,20.694,43.0
clean_7FCC,pdb,1,0.59,0.0,12.623,31.647,32.084,7.0
clean_4EE5,pdb,13,36.27,0.955,33.674,0.506,98.009,85.0
clean_4W9G,pdb,18,9.2,0.493,17.798,10.154,70.083,36.0
clean_5T3Q,pdb,6,17.09,0.795,21.603,-4.961,21.264,28.0
clean_8QWK,pdb,1,1.82,0.035,-1.121,-15.395,0.802,20.0
clean_7WUI,pdb,19,22.01,0.876,124.278,157.137,123.541,80.0
clean_1YCR,pdb,0,,,,,,
clean_6MS7,pdb,3,66.24,0.99,49.205,9.305,10.386,117.0
clean_5VLR,pdb,23,15.43,0.753,21.874,20.142,24.604,59.0
clean_8EF6,pdb,32,56.94,0.985,122.593,112.278,73.746,111.0
clean_3PFN,pdb,28,13.76,0.698,32.224,-8.344,46.339,28.0
clean_4BN2,pdb,19,11.33,0.606,-22.928,12.758,-59.114,32.0
clean_4W8D,pdb,4,11.05,0.592,17.554,-34.52,16.595,45.0
clean_3SHY,pdb,3,28.49,0.925,-44.136,12.816,37.117,53.0
clean_4FTQ,pdb,3,5.4,0.256,14.925,-4.721,10.66,24.0
clean_6U7E,pdb,31,32.25,0.942,-22.7,-12.293,-40.775,78.0
clean_6GMN,pdb,23,7.1,0.369,35.293,26.69,20.997,39.0
clean_5XJV,pdb,6,8.27,0.441,14.745,-0.691,13.665,36.0
clean_3G4K,pdb,16,63.56,0.989,-1.826,0.006,-0.515,118.0
clean_8QXK,pdb,84,98.41,0.996,162.131,141.257,161.919,208.0
clean_2OU7,pdb,6,18.5,0.824,41.719,14.327,39.614,46.0
clean_3IBD,pdb,8,88.9,0.995,21.859,14.434,23.272,138.0
clean_6CHH,pdb,16,39.63,0.963,-3.025,1.025,-7.373,70.0
clean_6DAE,pdb,8,5.61,0.269,23.23,-17.676,-21.1,31.0
clean_5JNO,pdb,2,2.5,0.069,-6.927,-5.161,-18.39,21.0
clean_6HVC,pdb,0,,,,,,
clean_3T7U,pdb,2,3.27,0.114,1.419,-0.557,-36.39,15.0
clean_8EXB,pdb,13,33.97,0.948,-23.079,-23.735,-8.825,72.0
clean_8K8D,pdb,0,,,,,,
clean_7N71,pdb,3,13.07,0.673,132.591,-189.616,93.007,49.0
clean_6F23,pdb,5,30.54,0.935,-2.133,-9.677,-17.073,60.0
clean_6FNI,pdb,3,22.29,0.879,17.331,94.737,6.073,52.0
clean_3O10,pdb,11,3.56,0.132,-24.285,-12.989,10.469,25.0
clean_3ZBF,pdb,1,5.89,0.288,41.229,20.058,6.512,34.0
clean_7Q5V,pdb,3,18.38,0.821,22.617,7.882,10.019,25.0
clean_2ILM,pdb,4,21.35,0.869,23.1,26.059,31.577,56.0
clean_4AMH,pdb,0,,,,,,
clean_4OC0,pdb,8,36.12,0.954,19.734,45.904,43.432,63.0
clean_3CQW,pdb,4,30.94,0.937,9.502,-0.787,19.272,92.0
clean_5NCF,pdb,3,1.38,0.017,11.441,49.037,-12.659,10.0
clean_6XA8,pdb,1,0.78,0.002,15.669,2.828,52.673,14.0
clean_8Y1U,pdb,2,5.61,0.27,-31.419,-6.85,30.699,37.0
clean_6JVJ,pdb,3,25.62,0.908,31.348,9.871,-16.427,53.0
clean_8ZYJ,pdb,24,28.97,0.929,167.259,178.415,181.583,78.0
clean_9NCZ,pdb,2,37.31,0.958,-2.765,-7.137,-19.288,66.0
clean_2V37,pdb,1,1.79,0.033,-16.392,-6.657,-3.392,16.0
clean_3KMX,pdb,12,23.47,0.889,22.234,10.601,23.197,68.0
clean_2CVD,pdb,38,26.16,0.911,9.693,10.349,23.444,61.0
clean_1LQB,pdb,3,3.74,0.143,40.465,48.817,54.077,28.0
clean_8E3D,pdb,0,,,,,,
clean_8K2W,pdb,11,26.21,0.911,111.933,116.2,137.51,72.0
clean_5FSI,pdb,1,25.75,0.908,12.808,20.898,3.797,44.0
clean_3G0G,pdb,52,12.92,0.667,41.749,2.748,14.413,38.0
clean_1WAK,pdb,4,11.36,0.608,23.381,11.961,29.217,39.0
clean_5NOB,pdb,6,28.76,0.927,10.73,0.099,-14.816,60.0
clean_6EQ4,pdb,2,28.84,0.928,-17.736,11.969,-21.414,48.0
clean_2GPU,pdb,4,32.12,0.941,62.381,47.371,27.153,48.0
clean_4TJW,pdb,16,29.47,0.931,18.889,20.375,17.063,63.0
clean_6YHX,pdb,0,,,,,,
clean_6HKP,pdb,6,8.27,0.441,22.417,68.256,7.612,22.0
clean_4XA3,pdb,2,0.87,0.003,14.575,166.345,178.755,9.0
clean_7Q7D,pdb,2,6.09,0.301,27.165,92.266,-4.824,38.0
clean_3OVL,pdb,0,,,,,,
clean_1NKO,pdb,1,1.01,0.006,14.37,22.674,32.776,12.0
clean_7X3M,pdb,8,54.59,0.984,17.812,-15.189,35.568,97.0
clean_3IKQ,pdb,8,20.42,0.855,30.7,17.979,7.553,40.0
clean_6BX8,pdb,16,12.6,0.656,-3.369,-53.55,28.023,51.0
clean_5Q1T,pdb,7,25.89,0.909,7.024,15.858,30.366,60.0
clean_4A1U,pdb,4,1.86,0.036,-35.004,13.918,24.609,19.0
clean_1CD8,pdb,2,1.94,0.04,33.779,29.249,29.356,16.0
clean_7K2S,pdb,14,12.14,0.64,6.317,27.242,35.136,53.0
clean_5ZMD,pdb,29,37.98,0.959,46.607,-25.486,-47.538,60.0
clean_7SF8,pdb,15,25.59,0.908,160.741,140.359,122.642,101.0
clean_8S1C,pdb,2,3.54,0.13,4.532,-17.156,-11.822,20.0
clean_2YHW,pdb,5,40.58,0.964,-6.766,33.2,20.082,60.0
clean_7O6D,pdb,3,3.85,0.15,-29.814,-48.298,-5.933,20.0
clean_4R8Y,pdb,10,26.06,0.91,21.396,34.796,56.557,59.0
clean_4D85,pdb,3,16.35,0.777,28.567,34.5,64.858,48.0
clean_9DYN,pdb,54,14.67,0.73,164.257,164.48,203.476,50.0
clean_3UVR,pdb,8,17.9,0.81,-6.086,-3.588,-3.768,61.0
clean_5VV2,pdb,7,83.01,0.994,117.89,247.891,328.006,154.0
